lineage,group
BA.2.74,BA.2.74
BA.2.75,BA.2.75
BA.2.75.1,BA.2.75.1/BL.3
BA.2.75.2,BA.2.75.2/BM.1.1.3/BY.1/CA.3
BA.2.75.3,BA.2.75.3
BA.2.75.4,BA.2.75.4
BA.2.75.5,BA.2.75.5
BA.2.75.6,BA.2.75.6
BA.2.75.7,BA.2.75.7
BA.2.75.9,BA.2.75.9
BA.2.76,BA.2.76
BA.2.77,BA.2.77
BA.2.78,BA.2.78
BA.2.79,BA.2.79
BA.2.81,BA.2.81
BA.2.86,BA.2.86
BA.2.86.1,BA.2.86.1/BA.2.86.2/BA.2.86.3/JN.18/JN.2.2/JN.2.3/JN.3/JN.6/LV.1
BA.2.86.6,BA.2.86.6/JN.1/JN.1.1/JN.1.10/JN.1.19/JN.1.21/JN.1.22/JN.1.3/JN.1.30/JN.1.31/JN.1.32/JN.1.39/JN.1.39.3/JN.1.4/JN.1.4.7/JN.1.40/JN.1.44/JN.1.45/JN.1.49/JN.1.5/JN.1.52/JN.1.53/JN.1.55/JN.1.57.1/JN.1.7/JN.1.7.7/JN.1.8/JN.1.8.1/JN.1.8.3/JN.1.9.1/XDP.1
BA.2.9.4,BA.2.9.4
BA.3,BA.3
BA.3.1,BA.3.1
BA.4,BA.4/BA.4.1/BA.4.1.1/BA.4.1.6/BA.4.2/BA.4.4/BA.5/BA.5.1/BA.5.1.1/BA.5.1.19/BA.5.1.21/BA.5.1.22/BA.5.1.23/BA.5.1.24/BA.5.1.25/BA.5.1.3/BA.5.1.30/BA.5.1.33/BA.5.1.34/BA.5.1.4/BA.5.1.9/BA.5.2.1/BA.5.2.2/BA.5.2.3/BA.5.3/BA.5.3.2/BA.5.3.3/BA.5.3.4/BA.5.5/BA.5.5.2/BA.5.8/BE.1/BE.1.1/BE.1.1.2/BE.1.4.1/BE.12/BE.2/BE.3/BE.4/BF.19/BF.23/BF.27/BF.28/BF.31/BF.36/BF.38/BF.8/DY.4/XAZ
BA.4.1.10,BA.4.1.10
BA.4.1.11,BA.4.1.11
BA.4.1.2,BA.4.1.2/BA.4.1.3/BA.5.1.6/BA.5.2.38/BE.1.4.4/DY.3/XAN
BA.4.1.4,BA.4.1.4
BA.4.1.8,BA.4.1.8/BA.4.1.9/BA.4.6/BA.4.6.4/BA.4.6.5/BA.5.1.18/BA.5.1.26/BA.5.1.27/BA.5.1.38/BA.5.11/BA.5.12/BA.5.2.13/BA.5.2.34/BA.5.2.35/BA.5.2.39/BA.5.2.47/BA.5.2.6/BA.5.3.5/BA.5.6.3/BE.1.2/BE.4.1/BE.8/BF.11/BF.11.1/BF.11.3/BF.11.4/BF.11.5/BF.30/BF.41.1/BF.7/BF.7.10/BF.7.12/BF.7.13/BF.7.13.2/BF.7.14.3/BF.7.17/BF.7.18/BF.7.19/BF.7.20/BF.7.21/BF.7.22/BF.7.23/BF.7.24/BF.7.26/BF.7.27/BF.7.3/BF.7.4/BF.7.4.1/BF.7.4.2/BF.7.5/BF.7.5.1/BF.7.6/BF.7.8/BF.7.9/CN.2/CP.1/CP.5/CP.8/DE.2/XBE
BA.4.3,BA.4.3
BA.4.5,BA.4.5
BA.4.6.1,BA.4.6.1
BA.4.6.2,BA.4.6.2/BE.1.2.1/CP.1.1
BA.4.6.3,BA.4.6.3
BA.4.7,BA.4.7/BA.5.2.57/BA.5.2.58/BF.13
BA.4.8,BA.4.8/BT.1
BA.5.1.10,BA.5.1.10/BA.5.1.15/BA.5.1.16/BA.5.1.17/BA.5.1.2/BA.5.1.31/BA.5.1.35/BA.5.1.5/BA.5.1.7/BA.5.2/BA.5.2.10/BA.5.2.12/BA.5.2.19/BA.5.2.20/BA.5.2.21/BA.5.2.22/BA.5.2.26/BA.5.2.27/BA.5.2.28/BA.5.2.33/BA.5.2.4/BA.5.2.44/BA.5.2.48/BA.5.2.5/BA.5.2.53/BA.5.2.56/BA.5.2.59/BA.5.2.62/BA.5.2.8/BA.5.2.9/BA.5.3.1/BA.5.5.3/BA.5.6/BE.1.4/BE.11/BF.1.1/BF.10/BF.18/BF.2/BF.21/BF.22/BF.26/BF.29/BF.31.1/BF.39/BF.41/BF.5/BF.6/BF.9/BT.2/DY.2
BA.5.1.12,BA.5.1.12/BF.25
BA.5.1.20,BA.5.1.20
BA.5.1.28,BA.5.1.28/BF.7.11
BA.5.1.29,BA.5.1.29
BA.5.1.32,BA.5.1.32
