lineage,group
JD.1.1.3,JD.1.1.3
JD.1.1.6,JD.1.1.6
JD.1.1.7,JD.1.1.7
JE.1.1.1,JE.1.1.1
JF.1,JF.1/JF.1.1/JR.1.1
JG.3.1,JG.3.1
JH.1,JH.1
JM.2,JM.2/XBB.1.16.15
JN.1.1.1,JN.1.1.1/JN.1.7.5
JN.1.1.2,JN.1.1.2/JN.1.37
JN.1.1.3,JN.1.1.3/KQ.1/LE.1/XDK.1
JN.1.1.4,JN.1.1.4/JN.1.2/JN.1.4.6/JN.1.43/JN.1.58/XDD/XDK
JN.1.1.6,JN.1.1.6/JN.1.49.2/KP.2.5/KR.1/LB.1.7/XDK.1.2
JN.1.11.1,JN.1.11.1/JN.1.16/JN.1.16.2/JN.1.51.1/KP.1.2/KW.1.1.1/XDV.1
JN.1.12,JN.1.12
JN.1.13,JN.1.13/JN.1.4.5/JN.1.47.1
JN.1.13.1,JN.1.13.1/JN.1.54/JN.1.6.1/JQ.2.1
JN.1.15,JN.1.15
JN.1.16.1,JN.1.16.1/JN.1.48/KP.2.1
JN.1.16.3,JN.1.16.3
JN.1.18,JN.1.18
JN.1.18.2,JN.1.18.2
JN.1.18.3,JN.1.18.3
JN.1.18.5,JN.1.18.5/KP.1.1/KP.1.1.1/KP.1.1.3/KP.1.1.5/KP.2/KP.2.11/KP.2.16/KP.2.2/LA.1/LB.1/LB.1.3/LB.1.4/LD.1/LF.1
JN.1.20,JN.1.20
JN.1.28,JN.1.28
JN.1.29,JN.1.29/JN.1.58.3/JN.1.6/XDR
JN.1.34,JN.1.34
JN.1.39.2,JN.1.39.2
JN.1.4.2,JN.1.4.2
JN.1.43.1,JN.1.43.1
JN.1.48.1,JN.1.48.1
JN.1.50,JN.1.50
JN.1.50.1,JN.1.50.1
JN.1.51,JN.1.51
JN.1.56,JN.1.56
JN.1.57,JN.1.57/JN.2.5
JN.1.63,JN.1.63
JN.1.9.2,JN.1.9.2
JN.10,JN.10
JN.11,JN.11/JN.3.3
JN.12,JN.12/JN.3.2.1
JN.14,JN.14
JN.2,JN.2/JN.7
JN.3.1,JN.3.1/JN.5
JN.4,JN.4
JN.8,JN.8
JN.9,JN.9
JV.1,JV.1
JY.1.1,JY.1.1
KC.1,KC.1
KP.2.10,KP.2.10/KP.2.15/KS.1.1/LB.1.2/LF.1.1
KP.2.3,KP.2.3/KP.2.3.3
KP.2.3.2,KP.2.3.2
KP.2.4,KP.2.4
KP.2.6,KP.2.6
KP.3,KP.3/KP.3.1.5/KP.3.2
KP.3.1,KP.3.1/KP.3.1.1/KP.3.2.3/KP.3.2.4/KP.3.3
KP.3.1.4,KP.3.1.4
KP.4.1,KP.4.1
KS.1,KS.1
KW.1.1,KW.1.1/XDK.4.1
LA.2,LA.2
LE.1.1,LE.1.1
LF.2,LF.2
LJ.1,LJ.1
LT.1,LT.1
P.1,P.1/P.1.17/P.1.17.1
P.1.1,P.1.1
P.1.16,P.1.16/P.1.7
P.1.8,P.1.8
XAH,XAH
XAJ,XAJ
XAK,XAK
XAP,XAP
XAS,XAS
XAY.1,XAY.1
XAY.1.1.1,XAY.1.1.1
XAY.1.1.2,XAY.1.1.2
XAY.1.1.3,XAY.1.1.3
XAY.1.2,XAY.1.2
XAY.2,XAY.2
XAY.2.2,XAY.2.2
XB,XB
XBB,XBB
XBB.1.1,XBB.1.1
XBB.1.11,XBB.1.11
XBB.1.12,XBB.1.12
XBB.1.13,XBB.1.13
XBB.1.13.1,XBB.1.13.1/XBB.1.36
XBB.1.14,XBB.1.14
XBB.1.14.1,XBB.1.14.1
XBB.1.15,XBB.1.15/XBB.1.4
XBB.1.15.1,XBB.1.15.1
XBB.1.16.12,XBB.1.16.12
XBB.1.16.14,XBB.1.16.14
XBB.1.16.18,XBB.1.16.18
XBB.1.16.2,XBB.1.16.2/XDB
XBB.1.16.20,XBB.1.16.20
XBB.1.16.22,XBB.1.16.22
XBB.1.16.32,XBB.1.16.32
XBB.1.17,XBB.1.17
XBB.1.18,XBB.1.18
XBB.1.20,XBB.1.20
XBB.1.21,XBB.1.21
XBB.1.22,XBB.1.22
XBB.1.22.2,XBB.1.22.2
XBB.1.25,XBB.1.25
XBB.1.28,XBB.1.28
XBB.1.28.1,XBB.1.28.1
XBB.1.29,XBB.1.29/XBB.1.9.4/XBB.1.9.5
XBB.1.3,XBB.1.3
XBB.1.30,XBB.1.30
XBB.1.32,XBB.1.32/XBB.1.5.79
XBB.1.33,XBB.1.33
XBB.1.37,XBB.1.37
XBB.1.38,XBB.1.38
XBB.1.38.1,XBB.1.38.1
XBB.1.39,XBB.1.39
XBB.1.4.1,XBB.1.4.1
XBB.1.41.1,XBB.1.41.1
XBB.1.41.2,XBB.1.41.2
XBB.1.42,XBB.1.42
XBB.1.44,XBB.1.44
XBB.1.47,XBB.1.47
XBB.1.47.1,XBB.1.47.1
XBB.1.5.10,XBB.1.5.10
XBB.1.5.12,XBB.1.5.12
XBB.1.5.17,XBB.1.5.17/XBB.1.5.8
XBB.1.5.19,XBB.1.5.19
XBB.1.5.2,XBB.1.5.2
XBB.1.5.22,XBB.1.5.22
XBB.1.5.24,XBB.1.5.24/XBB.1.5.5
XBB.1.5.26,XBB.1.5.26
XBB.1.5.28,XBB.1.5.28
XBB.1.5.3,XBB.1.5.3
XBB.1.5.30,XBB.1.5.30
XBB.1.5.32,XBB.1.5.32/XBB.1.5.42
XBB.1.5.40,XBB.1.5.40
XBB.1.5.43,XBB.1.5.43
XBB.1.5.47,XBB.1.5.47
XBB.1.5.51,XBB.1.5.51
XBB.1.5.56,XBB.1.5.56
XBB.1.5.59,XBB.1.5.59
XBB.1.5.6,XBB.1.5.6
XBB.1.5.60,XBB.1.5.60/XBB.1.5.86
XBB.1.5.61,XBB.1.5.61
XBB.1.5.67,XBB.1.5.67
XBB.1.5.69,XBB.1.5.69
XBB.1.5.71,XBB.1.5.71
XBB.1.5.76,XBB.1.5.76
XBB.1.5.78,XBB.1.5.78
XBB.1.5.84,XBB.1.5.84
XBB.1.5.9,XBB.1.5.9
XBB.1.5.92,XBB.1.5.92
XBB.1.8,XBB.1.8
XBB.1.9,XBB.1.9
XBB.1.9.2,XBB.1.9.2
XBB.1.9.3,XBB.1.9.3
XBB.2,XBB.2
XBB.2.1,XBB.2.1
XBB.2.10,XBB.2.10/XBB.2.6
XBB.2.11,XBB.2.11
XBB.2.11.1,XBB.2.11.1
XBB.2.2,XBB.2.2
XBB.2.3,XBB.2.3
XBB.2.3.12,XBB.2.3.12
XBB.2.3.13,XBB.2.3.13
XBB.2.3.14,XBB.2.3.14
XBB.2.3.2,XBB.2.3.2
XBB.2.3.6,XBB.2.3.6
XBB.2.3.7,XBB.2.3.7
XBB.2.3.8,XBB.2.3.8
XBB.2.4,XBB.2.4
XBB.2.5,XBB.2.5
XBB.2.8,XBB.2.8
XBB.2.9,XBB.2.9
XBB.3,XBB.3
XBB.3.2,XBB.3.2/XBB.6
XBB.3.4,XBB.3.4
XBB.4,XBB.4
XBB.8,XBB.8
XBB.8.1,XBB.8.1
XBB.9,XBB.9
XBC.1,XBC.1
XBC.1.1.1,XBC.1.1.1
XBC.1.2,XBC.1.2
XBC.1.2.1,XBC.1.2.1
XBC.1.3,XBC.1.3
XBC.1.3.1,XBC.1.3.1
XBD,XBD/XBH
XBF,XBF/XBF.7/XBF.9/XBK.1
XBF.3,XBF.3
XBF.5,XBF.5
XBF.6,XBF.6
XBF.8,XBF.8
XBF.8.1,XBF.8.1
XBG,XBG
XBJ,XBJ
XBJ.3,XBJ.3
XBK,XBK
XBL,XBL
XBM,XBM
XBS,XBS
XBT,XBT
XBU,XBU
XBV,XBV
XCG,XCG
XCH,XCH
XCM,XCM
XCP,XCP
XD,XD
XDK.5,XDK.5
XDS,XDS
XH,XH
XW,XW
