lineages_l,number_genomes_per_lineage
XBB.1.38.1,1
XBB.1.39,1
XBB.1.4,17
XBB.1.4.1,27
XBB.1.41.1,1
XBB.1.41.2,1
XBB.1.42,11
XBB.1.42.1,4
XBB.1.42.2,4
XBB.1.43.1,5
XBB.1.44,9
XBB.1.47,2
XBB.1.47.1,1
XBB.1.5,4706
XBB.1.5.1,78
XBB.1.5.10,3
XBB.1.5.100,11
XBB.1.5.101,1
XBB.1.5.102,1
XBB.1.5.11,48
XBB.1.5.12,660
XBB.1.5.13,636
XBB.1.5.14,155
XBB.1.5.15,99
XBB.1.5.16,75
XBB.1.5.17,59
XBB.1.5.18,37
XBB.1.5.19,19
XBB.1.5.2,2
XBB.1.5.20,107
XBB.1.5.21,216
XBB.1.5.22,10
XBB.1.5.23,78
XBB.1.5.24,506
XBB.1.5.25,4
XBB.1.5.26,18
XBB.1.5.28,3
XBB.1.5.3,3
XBB.1.5.30,6
XBB.1.5.31,7
XBB.1.5.32,15
XBB.1.5.33,38
XBB.1.5.34,11
XBB.1.5.35,1
XBB.1.5.36,9
XBB.1.5.37,529
XBB.1.5.38,80
XBB.1.5.39,10
XBB.1.5.4,30
XBB.1.5.40,3
XBB.1.5.42,2
XBB.1.5.43,14
XBB.1.5.46,914
XBB.1.5.47,44
XBB.1.5.48,67
XBB.1.5.49,70
XBB.1.5.5,45
XBB.1.5.51,8
XBB.1.5.52,97
XBB.1.5.54,31
XBB.1.5.55,2
XBB.1.5.56,10
XBB.1.5.57,12
XBB.1.5.59,6
XBB.1.5.6,10
XBB.1.5.60,113
XBB.1.5.61,17
XBB.1.5.62,228
XBB.1.5.63,401
XBB.1.5.65,817
XBB.1.5.66,27
XBB.1.5.67,28
XBB.1.5.69,1
XBB.1.5.7,753
XBB.1.5.71,6
XBB.1.5.72,4
XBB.1.5.73,4
XBB.1.5.75,35
XBB.1.5.76,4
XBB.1.5.77,8
XBB.1.5.78,3
XBB.1.5.79,2
XBB.1.5.8,21
XBB.1.5.80,4
XBB.1.5.84,4
XBB.1.5.86,14
XBB.1.5.88,4
XBB.1.5.9,2
XBB.1.5.90,30
XBB.1.5.92,6
XBB.1.5.95,47
XBB.1.5.96,2
XBB.1.5.98,1
XBB.1.5.99,23
XBB.1.8,1
XBB.1.9,281
XBB.1.9.1,687
XBB.1.9.2,470
XBB.1.9.3,2
XBB.1.9.4,10
XBB.1.9.5,3
XBB.2,88
XBB.2.1,7
XBB.2.10,10
XBB.2.11,1
XBB.2.11.1,3
XBB.2.2,13
XBB.2.3,72
XBB.2.3.1,7
XBB.2.3.11,7
XBB.2.3.12,1
XBB.2.3.13,1
XBB.2.3.14,6
XBB.2.3.2,7
XBB.2.3.22,1
XBB.2.3.3,6
XBB.2.3.6,2
XBB.2.3.7,8
XBB.2.3.8,3
XBB.2.4,32
XBB.2.5,20
XBB.2.6,15
XBB.2.8,2
XBB.2.9,5
XBB.3,18
XBB.3.2,4
XBB.3.4,3
XBB.4,4
XBB.6,1
XBB.8,6
XBB.8.1,11
XBB.9,3
XBC.1,10
XBC.1.1.1,1
XBC.1.2,6
XBC.1.2.1,1
XBC.1.3,7
XBC.1.3.1,2
XBC.1.6.1,1
XBD,36
XBE,2
XBF,363
XBF.2,1
XBF.3,52
XBF.4,20
XBF.5,1
XBF.6,71
XBF.7,19
XBF.7.1,20
XBF.8,5
XBF.8.1,1
XBF.9,4
XBG,38
XBH,4
XBJ,1
XBJ.2,43
XBJ.3,42
XBK,196
XBK.1,189
XBL,26
XBL.1,7
XBL.3,34
XBM,11
XBS,4
XBT,234
XBU,4
XBV,3
XBW,44
XBZ,58
XCF,1
XCG,3
XCH,2
XCH.1,15
XCM,1
XCP,1
XCT,13
XCT.1,13
XCW,1
XCZ,3
XD,1
XDA,1
XDA.1,2
XDB,2
XDD,3
XDF,1
XDK,3
XDK.1,6
XDK.1.2,1
XDK.4.1,2
XDK.5,3
XDL,2
XDP.1,1
XDR,1
XDS,2
XDV.1,4
XE,32
XG,34
XH,1
XJ,1
XM,278
XN,1
XV,1
XW,37
XZ,2
