"inverse_ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 16:45:38"


15
locs,inverse_ID50
524.667,124.762,
524.667,195.526,
525.333,236.583,
524.667,370.771,
524.667,402.330,
524.667,480.229,
525.333,581.069,
524.667,656.814,
524.667,762.928,
524.667,1179.49,
524.667,1388.82,
525.333,1507.03,
524.667,2743.38,
524,3230.27,
524.667,3553.27,
