"pNT50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 17:17:29"


16
locs,pNT50
391,157.414,
391,244.998,
391,368.555,
390,483.870,
391,614.013,
391,703.543,
390,862.900,
391,1132.89,
392,1437.59,
391,1887.39,
391,2237.45,
391,3039.20,
392,4271.12,
390,7361.99,
391,12265.1,
391,13583.3,
