"IC50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 18:15:39"


8
locs,IC50
320,248.778,
320,320.835,
321,376.119,
320,542.158,
320.500,605.977,
320.500,781.494,
321,916.156,
320,1144.54,
