"pNT50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 17:20:51"


16
locs,pNT50
438,64.9842,
439,74.4597,
439,174.333,
439,500.619,
439,321.654,
439,408.167,
439,614.013,
440,779.158,
439,1022.94,
438,1592.10,
439,2020.31,
439,3253.23,
440,4128.23,
439,5419.89,
438,9029.53,
439,13128.8,
