"ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 17:40:15"


10
locs,ID50
335.522,796.183,
348.479,1179.61,
335.926,1915.18,
336.376,3023.35,
347.383,2835.19,
347.825,4801.17,
335.803,5888.33,
347.756,9030.76,
341.179,18157.8,
342.098,37966.9,
