"ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 17:43:14"


10
locs,ID50
431.674,198.864,
410.671,203.645,
421.167,212.119,
426.147,253.494,
416.136,280.125,
421.113,346.724,
426.093,414.355,
416.079,474.242,
421.913,2152.11,
420.659,21811.2,
