"IC50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 18:19:09"


8
locs,IC50
474.500,1.04885,
474.500,1.63695,
474.500,7.18026,
475,13.1373,
474.500,18.9368,
475,29.0887,
473.500,51.5562,
475,67.5546,
