,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
0,1,0.12500286614257672,0.28365688395212274
1,2,0.2250564290785192,0.4411665224904424
2,3,0.3061190318250393,0.5362375791272738
3,4,0.3725038396067035,0.5970916420181711
4,5,0.427385644069161,0.6376780636700567
5,6,0.47313702060418616,0.6655068875955561
6,7,0.5115557327743833,0.6849082563379589
7,8,0.5440213569544867,0.6985230188396288
8,9,0.5716049483874495,0.7080386807054462
9,10,0.5951469992394787,0.7145765745269927
10,11,0.6153136363761809,0.718906763046636
11,12,0.6326376603193562,0.7215729490962595
12,13,0.6475488765418804,0.7229680588592777
13,14,0.6603967650447787,0.723381636016537
14,15,0.6714676014091698,0.7230305227532199
15,16,0.6809975143086351,0.7226922834660351
16,17,0.689182535590595,0.7233097701251624
17,18,0.6961864025000915,0.7233140139667622
18,19,0.7021466641328313,0.7228074795879887
19,20,0.7058527573526095,0.7231558890115144
20,21,0.7004902002429805,0.723381636016537
21,22,0.694647347672102,0.7231764441905475
22,23,0.6883793079600482,0.7229711939603665
23,24,0.6817340678292241,0.7233378258995404
24,25,0.6747538119080809,0.7233394934082974
25,26,0.6674759440877646,0.7230163330254278
26,27,0.6599338852550886,0.7232359553582223
27,28,0.6521577018986062,0.723381636016537
28,29,0.6441746058094409,0.7232451071513513
29,30,0.6360093548124344,0.722852214630143
30,31,0.627684576977706,0.7222258617738156
31,32,0.6192210352660736,0.7213864191292071
32,33,0.6106378454925745,0.7203520678619286
33,34,0.601952657457647,0.7191390888172332
34,35,0.5931818068174841,0.7177621069001157
35,36,0.5843404435448512,0.7162342985456602
36,37,0.5754426415258436,0.7145675685672905
37,38,0.5665014928420558,0.7127727014940114
38,39,0.5575291895246686,0.7108594915697692
39,40,0.548537094980124,0.7088368548366538
40,41,0.5395358068339966,0.7067129261189129
41,42,0.5305352125885412,0.704495143235885
42,43,0.5215445392162781,0.7021903203750652
43,44,0.5125723975986275,0.6998047122330215
44,45,0.5036268225512959,0.6973440702671642
45,46,0.49471530904623684,0.6948136921839649
46,47,0.4858448451355246,0.6922184656100294
47,48,0.4770219419992219,0.6895629067442425
48,49,0.4682526614725183,0.6868511946662518
49,50,0.4595426413534257,0.6840872018742346
50,51,0.4508971187483545,0.6812745215394672
51,52,0.4423209516767612,0.6784164918937159
52,53,0.4338186391261192,0.6755162181054298
53,54,0.4253943397234192,0.6725765919501935
54,55,0.4170518891682752,0.6696003095382463
55,56,0.4087948165547053,0.6665898873258035
56,57,0.40062635969323157,0.6635476766062964
57,58,0.39254947953156416,0.6604758766516523
58,59,0.3845668737605209,0.6573765466515367
59,60,0.37668098968166175,0.6542516165795572
60,61,0.36889403640413965,0.6511028970991932
61,62,0.36120799643040513,0.6479320886083073
62,63,0.3536246366833844,0.64474078950911
63,64,0.3461455190215621,0.641530503780133
64,65,0.3387720102829157,0.6383026479178395
65,66,0.33150529189375355,0.6350585573077718
66,67,0.32434636907420067,0.6317994920784297
67,68,0.317296079668246,0.6285266424852293
68,69,0.31035510262288013,0.6252411338668031
69,70,0.3035239661378747,0.6219440312114417
70,71,0.2968030555051301,0.6186363433675794
71,72,0.2901926206542291,0.6153190269287891
72,73,0.28369278341881354,0.6119929898207359
73,74,0.27730354453667605,0.608659094614865
74,75,0.2710247903949391,0.6053181615912444
75,76,0.2648562995303979,0.6019709715708773
76,77,0.25879774889398854,0.5986182685359466
77,78,0.25284871988740754,0.5952607620547834
78,79,0.2470087041790905,0.5918991295268675
79,80,0.2412771093061069,0.5885340182618393
80,81,0.23565326406795295,0.5851660474053051
81,82,0.2301364237177781,0.5817958097231424
82,83,0.2247257749561946,0.5784238732550411
83,84,0.21942044073252687,0.5750507828471404
84,85,0.2142194848581117,0.5716770615728249
85,86,0.20912191643607936,0.5683032120500229
86,87,0.2041266941118951,0.5649297176626944
87,88,0.19923273014884446,0.5615570436935964
88,89,0.19443889433255912,0.5581856383748711
89,90,0.18974401770863802,0.5548159338624997
90,91,0.185146896157373,0.5514483471402107
91,92,0.18064629380958208,0.5480832808580132
92,93,0.17624094630752973,0.5447211241101338
93,94,0.1719295639149233,0.5413622531567992
94,95,0.16771083447996915,0.5380070320939555
95,96,0.1635834262554816,0.5346558134747414
96,97,0.15954599058003494,0.5313089388862375
97,98,0.15559716442415528,0.5279667394847644
98,99,0.15173557280555217,0.5246295364927669
99,100,0.14795983107737143,0.5212976416601034
100,101,0.1442685470934607,0.517971357692353
101,102,0.14066032325460842,0.5146509786485696
102,103,0.13713375843970377,0.511336790310736
103,104,0.133687449825741,0.5080290705270123
104,105,0.130319994600557,0.5047280895307211
105,106,0.12702999157215555,0.5014341102368739
106,107,0.12381604267842417,0.4981473885179142
107,108,0.12067675440101433,0.4948681734602335
108,109,0.11761073908708009,0.4915967076029063
109,110,0.11461661618253649,0.48833322715998173
110,111,0.11169301338042004,0.4850779622275816
111,112,0.10883856768787059,0.4818311369769567
112,113,0.10605192641518424,0.4785929698345751
113,114,0.10333174809031542,0.4753636736502407
114,115,0.10067670330212419,0.4721434558541612
115,116,0.09808547547558488,0.468932518603823
116,117,0.09555676158210102,0.46573105892147104
117,118,0.09308927278796642,0.4625392688229246
118,119,0.09068173504395616,0.4593573354384174
119,120,0.08833288961891506,0.45618544112608683
120,121,0.08604149358014568,0.4530237635787082
121,122,0.08380632022330436,0.449872475924207
122,123,0.08162615945441642,0.4467317468204577
123,124,0.07949981812654972,0.44360174054483226
124,125,0.07742612033358631,0.44048261707892644
125,126,0.07540390766345395,0.43737453218886346
126,127,0.07343203941308418,0.43427763750154225
127,128,0.07150939276728197,0.43119208057716774
128,129,0.0696348629436172,0.42811800497838026
129,130,0.06780736330534809,0.42505555033626796
130,131,0.06602582544432234,0.4220048524135337
131,132,0.06428919923570697,0.41896604316506003
132,133,0.06259645286633797,0.41593925079609806
133,134,0.060946572838380675,0.4129245998182888
134,135,0.05933856394994308,0.40992221110371185
135,136,0.057771449254193086,0.40693220193713175
136,137,0.0562442699984641,0.40395468606660967
137,138,0.0547560855447754,0.4009897737526241
138,139,0.05330597327310804,0.3980375718158393
139,140,0.051893028468731894,0.3950981836836469
140,141,0.05051636419480343,0.3921717094355912
141,142,0.049175111151398054,0.38925824584778557
142,143,0.04786841752208337,0.386357886436413
143,144,0.04659544880908384,0.38347072150040007
144,145,0.04535538765802549,0.3805968381633381
145,146,0.04414743367321006,0.3777363204147287
146,147,0.04297080322430413,0.3748892491506156
147,148,0.04182472924529157,0.37205570221366246
148,149,0.04070846102648096,0.3692357544327276
149,150,0.03962126400032251,0.3664294776619871
150,151,0.03856241952174411,0.3636369408196486
151,152,0.03753122464367409,0.36085820992628914
152,153,0.03652699188837771,0.35809334814286
153,154,0.035549049015203504,0.3553424158083831
154,155,0.0345967387852848,0.352605470477366
155,156,0.033669418723731415,0.34988256695696485
156,157,0.032766460879787185,0.3471737573439111
157,158,0.03188725158541783,0.3444790910612223
158,159,0.031031191212754772,0.34179861489471175
159,160,0.030197693930789304,0.3391323730293152
160,161,0.0293861874616983,0.33648040708523974
161,162,0.02859611283713892,0.3338427561539483
162,163,0.027826924154839783,0.3312194568339888
163,164,0.027078088335783956,0.32861054326667083
164,165,0.026349084882265728,0.3260160471716008
165,166,0.025639405637069568,0.3234359978820701
166,167,0.024948554544016344,0.32087042238030916
167,168,0.0242760474100866,0.31831934533260486
168,169,0.023621411669327852,0.3157827891242768
169,170,0.02298418614872466,0.31326077389452256
170,171,0.02236392083619887,0.3107533175711219
171,172,0.021760176650898244,0.3082604359050042
172,173,0.02117252521590296,0.30578214250467406
173,174,0.020600548633484927,0.3033184488704932
174,175,0.02004383926302633,0.30086936442881484
175,176,0.019501999501698952,0.2984348965659711
176,177,0.018974641567998884,0.29601505066210065
177,178,0.018461387288211006,0.2936098301248241
178,179,0.01796186788587595,0.2912192364227527
179,180,0.01747572377431872,0.2888432691188302
180,181,0.017002604352294615,0.2864819259035052
181,182,0.01654216780279072,0.28413520262772374
182,183,0.0160940808950244,0.2818030933357416
183,184,0.015658018789667882,0.27948559029775044
184,185,0.01523366484731914,0.27718268404230917
185,186,0.01482071044023936,0.27489436338858164
186,187,0.014418854767365707,0.27262061547836913
187,188,0.014027804672608446,0.27036142580793954
188,189,0.013647274466428327,0.26811677825963853
189,190,0.013276985750698467,0.2658866551332907
190,191,0.012916667246833269,0.2636710371773714
191,192,0.012566054627185075,0.2614699036199598
192,193,0.012224890349678441,0.25928323219945015
193,194,0.011892923495681273,0.25711099919503944
194,195,0.011569909611070406,0.25495317945696194
195,196,0.011255610550492179,0.2528097464364898
196,197,0.010949794324764506,0.25068067221567736
197,198,0.010652234951416206,0.2485659275368549
198,199,0.01036271230831265,0.24646548183186667
199,200,0.010081011990346278,0.2443793032510465
200,201,0.009806925169156822,0.2423073586919292
201,202,0.009540248455834122,0.24024961382769627
202,203,0.009280783766580925,0.2382060331353475
203,204,0.009028338191286012,0.23617657992360241
