,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
0,1,0.7455283240519273,0.9524950116975849,0.25935466734115153,0.5233629311487598
1,2,0.9116980630352216,0.9915225297114333,0.43390429890515714,0.7204521554809435
2,3,0.9626066242508151,0.9972541920498315,0.5552572372477298,0.8111022937240252
3,4,0.9817534071018017,0.9987434733870276,0.6420287405466967,0.8588182745237144
4,5,0.9900871032642928,0.9992809146883873,0.7056081856635839,0.8864012769742949
5,6,0.9941380119137675,0.9995200370022155,0.7532002641884025,0.9034218937143955
6,7,0.9962859104272065,0.9996423625230948,0.7894986259040029,0.9143996816771398
7,8,0.9975077439334117,0.9997110643037541,0.817642092219839,0.9216749058502822
8,9,0.9982443172699829,0.9997520011824111,0.8397794128774905,0.9265525137254913
9,10,0.9987104738909955,0.99977713331457,0.8574128519083155,0.9298057844860935
10,11,0.9990178823985122,0.9997925435985908,0.8716128583056045,0.9319168242859308
11,12,0.999227837294368,0.9998015689145511,0.8831554582319806,0.933199391911963
12,13,0.9993755963790213,0.9998061556308554,0.8926121318562144,0.9338652840387808
13,14,0.9994822823855726,0.9998074977435454,0.9004097925803767,0.9340619973636092
14,15,0.9995610084747751,0.9998063588476481,0.9068715529635998,0.9338950144773658
15,16,0.9996201748559783,0.9998052562486713,0.9122449020930006,0.9337339395512192
16,17,0.9996653141951062,0.9998072651031497,0.9167214865538106,0.9340278377652411
17,18,0.9997001614149035,0.9998072788477829,0.9204511980801029,0.9340298552300496
18,19,0.9997272935661471,0.9998056323705384,0.923552341360668,0.9337888214344959
19,20,0.9997430705044585,0.999806766156233,0.9254470304255498,0.9339546623713075
20,21,0.999719975431662,0.9998074977435454,0.9226971752156439,0.9340619973636092
21,22,0.9996927867941166,0.9998068328687741,0.9196395618607833,0.933964439539383
22,23,0.9996611015905539,0.9998061658347903,0.916287816810627,0.9338667763989467
23,24,0.9996244430516507,0.9998073559524753,0.9126529644337411,0.9340411744854391
24,25,0.9995822603749386,0.9998073613509928,0.9087441246858837,0.9340419671143486
25,26,0.9995339269061283,0.999806312699576,0.9045690360787616,0.9338882613370935
26,27,0.9994787372092102,0.9998070259029134,0.9001344509026635,0.9339927419215002
27,28,0.9994159033255833,0.9998074977435454,0.8954464357790156,0.9340619973636092
28,29,0.999344550434003,0.9998070555735543,0.8905106011820556,0.9339970937622295
29,30,0.9992637120675525,0.9998057782648657,0.8853322770567126,0.933810127572148
30,31,0.999172325008793,0.9998037269642056,0.8799166471029138,0.9335114764847026
31,32,0.9990692239622906,0.9998009486555759,0.874268851065239,0.9331100884661614
32,33,0.9989531360901835,0.9997974788785784,0.8683940620462394,0.9326137159195923
33,34,0.9988226754884459,0.9997933438209214,0.8622975441748728,0.9320291064950229
34,35,0.9986763376770844,0.9997885619422244,0.8559846947210508,0.9313621594317266
35,36,0.9985124941754402,0.9997831452434152,0.8494610738250926,0.930618054328787
36,37,0.9983293872331716,0.9997771002657,0.8427324243181956,0.9298013577328681
37,38,0.9981251247877858,0.9997704288814139,0.8358046835847169,0.9289161117810538
38,39,0.9978976757203125,0.9997631289233886,0.8286839890151544,0.9279659082515551
39,40,0.9976448654815625,0.9997551946880544,0.8213766782887284,0.926953950690135
40,41,0.9973643721621317,0.9997466173390759,0.8138892854836219,0.9258831067467068
41,42,0.9970537230797055,0.9997373852320794,0.8062285338245836,0.9247559524387324
42,43,0.9967102919571349,0.9997274841763556,0.7984013257294147,0.9235748097288697
43,44,0.9963312967640652,0.9997168976458919,0.7904147306986509,0.9223417785435803
44,45,0.9959137982935068,0.9997056069494175,0.7822759714995546,0.921058764151794
45,46,0.9954546995425608,0.9996935913670848,0.7739924090210859,0.9197275006565818
46,47,0.9949507459634923,0.9996808282598422,0.7655715261167071,0.9183495712192121
47,48,0.9943985266474408,0.9996672931563212,0.7570209107036058,0.9169264255270486
48,49,0.9937944764982466,0.9996529598211145,0.7483482383476627,0.9154593949292094
49,50,0.9931348794481525,0.9996378003075675,0.7395612545313787,0.9139497055925814
50,51,0.9924158727605118,0.9996217849976192,0.7306677567754465,0.9123984899724374
51,52,0.9916334524571488,0.9996048826307609,0.721675576762538,0.9108067968439975
52,53,0.9907834798996958,0.9995870603238063,0.7125925625932058,0.9091756001017886
53,54,0.9898616895451606,0.9995682835828731,0.7034265612878565,0.9075058065010061
54,55,0.9888636978862188,0.9995485163087295,0.6941854016349212,0.9057982624879776
