,Day since infection,"Proba Neut Min
 vs. Lineage 1 antigen","Proba Neut Max
 vs. Lineage 1 antigen","Proba Neut Min
 vs. Lineage 2 antigen","Proba Neut Max
 vs. Lineage 2 antigen"
0,1,0.19127766105072863,0.4084311506654579,0.7455283240519273,0.9524950116975849
1,2,0.3315598554800605,0.5955485456514796,0.9116980630352216,0.9915225297114333
2,3,0.4368580667934284,0.694512787190761,0.9626066242508151,0.9972541920498315
3,4,0.5174932211950315,0.7521794947653475,0.9817534071018017,0.9987434733870276
4,5,0.5803215165493558,0.788107205302629,0.9900871032642928,0.9992809146883873
5,6,0.630018972693958,0.8115418940330786,0.9941380119137675,0.9995200370022155
6,7,0.6698495923900997,0.8272908123416055,0.9962859104272065,0.9996423625230948
7,8,0.7021392600877867,0.8380489832913991,0.9975077439334117,0.9997110643037541
8,9,0.7285762738233303,0.8454226399993982,0.9982443172699829,0.9997520011824111
9,10,0.7504066770650855,0.8504188347799535,0.9987104738909955,0.99977713331457
10,11,0.7685640502016516,0.8536963306133429,0.9990178823985122,0.9997925435985908
11,12,0.7837574912243769,0.8557017736168314,0.999227837294368,0.9998015689145511
12,13,0.796532346029504,0.8567473111173021,0.9993755963790213,0.9998061556308554
13,14,0.8073128287490348,0.8570567517353449,0.9994822823855726,0.9998074977435454
14,15,0.8164323904362183,0.8567940617948747,0.9995610084747751,0.9998063588476481
15,16,0.8241556628236513,0.8565408457034008,0.9996201748559783,0.9998052562486713
16,17,0.8306945207697445,0.8570029979372544,0.9996653141951062,0.9998072651031497
17,18,0.8362199815298468,0.8570061724137454,0.9997001614149035,0.9998072788477829
18,19,0.8408711187898905,0.8566271023863918,0.9997272935661471,0.9998056323705384
19,20,0.8437394312363106,0.8568878753651479,0.9997430705044585,0.999806766156233
20,21,0.8395832059698347,0.8570567517353449,0.999719975431662,0.9998074977435454
21,22,0.8350113366932176,0.8569032551009359,0.9996927867941166,0.9998068328687741
22,23,0.8300567189892303,0.8567496576884595,0.9996611015905539,0.9998061658347903
23,24,0.824747666265673,0.8570239837522442,0.9996244430516507,0.9998073559524753
24,25,0.8191089330791222,0.857025231020893,0.9995822603749386,0.9998073613509928
25,26,0.8131624876432606,0.8567834420535028,0.9995339269061283,0.999806312699576
26,27,0.8069280990977168,0.8569477791433588,0.9994787372092102,0.9998070259029134
27,28,0.8004237866318333,0.8570567517353449,0.9994159033255833,0.9998074977435454
28,29,0.7936661646886503,0.8569546257487703,0.999344550434003,0.9998070555735543
29,30,0.7866707093931314,0.856660594295715,0.9992637120675525,0.9998057782648657
30,31,0.7794519648600305,0.856191414219779,0.999172325008793,0.9998037269642056
31,32,0.7720237033465174,0.8555617827354248,0.9990692239622906,0.9998009486555759
32,33,0.7643990497876565,0.8547846473986322,0.9989531360901835,0.9997974788785784
33,34,0.7565905787238945,0.8538714625227654,0.9988226754884459,0.9997933438209214
34,35,0.7486103897465436,0.8528324023329632,0.9986763376770844,0.9997885619422244
35,36,0.740470166173429,0.8516765389882325,0.9985124941754402,0.9997831452434152
36,37,0.7321812205976119,0.8504119919288975,0.9983293872331716,0.9997771002657
37,38,0.7237545301381365,0.8490460537077699,0.9981251247877858,0.9997704288814139
38,39,0.7152007635986284,0.8475852964473471,0.9978976757203125,0.9997631289233886
39,40,0.7065303022601164,0.8460356622661643,0.9976448654815625,0.9997551946880544
40,41,0.6977532556640178,0.844402540385349,0.9973643721621317,0.9997466173390759
41,42,0.68887947345389,0.8426908331238917,0.9970537230797055,0.9997373852320794
