,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
0,1,0.25935466734115153,0.5233629311487598,0.7455283240519273,0.9524950116975849
1,2,0.43390429890515714,0.7204521554809435,0.9116980630352216,0.9915225297114333
2,3,0.5552572372477298,0.8111022937240252,0.9626066242508151,0.9972541920498315
3,4,0.6420287405466967,0.8588182745237144,0.9817534071018017,0.9987434733870276
4,5,0.7056081856635839,0.8864012769742949,0.9900871032642928,0.9992809146883873
5,6,0.7532002641884025,0.9034218937143955,0.9941380119137675,0.9995200370022155
6,7,0.7894986259040029,0.9143996816771398,0.9962859104272065,0.9996423625230948
7,8,0.817642092219839,0.9216749058502822,0.9975077439334117,0.9997110643037541
8,9,0.8397794128774905,0.9265525137254913,0.9982443172699829,0.9997520011824111
9,10,0.8574128519083155,0.9298057844860935,0.9987104738909955,0.99977713331457
10,11,0.8716128583056045,0.9319168242859308,0.9990178823985122,0.9997925435985908
11,12,0.8831554582319806,0.933199391911963,0.999227837294368,0.9998015689145511
12,13,0.8926121318562144,0.9338652840387808,0.9993755963790213,0.9998061556308554
13,14,0.9004097925803767,0.9340619973636092,0.9994822823855726,0.9998074977435454
14,15,0.9068715529635998,0.9338950144773658,0.9995610084747751,0.9998063588476481
15,16,0.9122449020930006,0.9337339395512192,0.9996201748559783,0.9998052562486713
16,17,0.9167214865538106,0.9340278377652411,0.9996653141951062,0.9998072651031497
17,18,0.9204511980801029,0.9340298552300496,0.9997001614149035,0.9998072788477829
18,19,0.923552341360668,0.9337888214344959,0.9997272935661471,0.9998056323705384
19,20,0.9254470304255498,0.9339546623713075,0.9997430705044585,0.999806766156233
20,21,0.9226971752156439,0.9340619973636092,0.999719975431662,0.9998074977435454
21,22,0.9196395618607833,0.933964439539383,0.9996927867941166,0.9998068328687741
22,23,0.916287816810627,0.9338667763989467,0.9996611015905539,0.9998061658347903
23,24,0.9126529644337411,0.9340411744854391,0.9996244430516507,0.9998073559524753
24,25,0.9087441246858837,0.9340419671143486,0.9995822603749386,0.9998073613509928
25,26,0.9045690360787616,0.9338882613370935,0.9995339269061283,0.999806312699576
26,27,0.9001344509026635,0.9339927419215002,0.9994787372092102,0.9998070259029134
27,28,0.8954464357790156,0.9340619973636092,0.9994159033255833,0.9998074977435454
28,29,0.8905106011820556,0.9339970937622295,0.999344550434003,0.9998070555735543
29,30,0.8853322770567126,0.933810127572148,0.9992637120675525,0.9998057782648657
30,31,0.8799166471029138,0.9335114764847026,0.999172325008793,0.9998037269642056
31,32,0.874268851065239,0.9331100884661614,0.9990692239622906,0.9998009486555759
32,33,0.8683940620462394,0.9326137159195923,0.9989531360901835,0.9997974788785784
33,34,0.8622975441748728,0.9320291064950229,0.9988226754884459,0.9997933438209214
34,35,0.8559846947210508,0.9313621594317266,0.9986763376770844,0.9997885619422244
35,36,0.8494610738250926,0.930618054328787,0.9985124941754402,0.9997831452434152
36,37,0.8427324243181956,0.9298013577328681,0.9983293872331716,0.9997771002657
37,38,0.8358046835847169,0.9289161117810538,0.9981251247877858,0.9997704288814139
38,39,0.8286839890151544,0.9279659082515551,0.9978976757203125,0.9997631289233886
39,40,0.8213766782887284,0.926953950690135,0.9976448654815625,0.9997551946880544
40,41,0.8138892854836219,0.9258831067467068,0.9973643721621317,0.9997466173390759
41,42,0.8062285338245836,0.9247559524387324,0.9970537230797055,0.9997373852320794
42,43,0.7984013257294147,0.9235748097288697,0.9967102919571349,0.9997274841763556
43,44,0.7904147306986509,0.9223417785435803,0.9963312967640652,0.9997168976458919
44,45,0.7822759714995546,0.921058764151794,0.9959137982935068,0.9997056069494175
45,46,0.7739924090210859,0.9197275006565818,0.9954546995425608,0.9996935913670848
46,47,0.7655715261167071,0.9183495712192121,0.9949507459634923,0.9996808282598422
47,48,0.7570209107036058,0.9169264255270486,0.9943985266474408,0.9996672931563212
48,49,0.7483482383476627,0.9154593949292094,0.9937944764982466,0.9996529598211145
49,50,0.7395612545313787,0.9139497055925814,0.9931348794481525,0.9996378003075675
50,51,0.7306677567754465,0.9123984899724374,0.9924158727605118,0.9996217849976192
51,52,0.721675576762538,0.9108067968439975,0.9916334524571488,0.9996048826307609
52,53,0.7125925625932058,0.9091756001017886,0.9907834798996958,0.9995870603238063
53,54,0.7034265612878565,0.9075058065010061,0.9898616895451606,0.9995682835828731
54,55,0.6941854016349212,0.9057982624879776,0.9888636978862188,0.9995485163087295
55,56,0.6848768774731908,0.9040537602442777,0.9877850135763867,0.9995277207964747
56,57,0.6755087314854424,0.9022730430502076,0.9866210487294063,0.9995058577303557
57,58,0.6660886395706761,0.9004568100575816,0.985367131370995,0.9994828861744052
58,59,0.6566241958533077,0.8986057205485275,0.9840185190097044,0.9994587635594699
59,60,0.6471228983793635,0.8967203977458575,0.9825704132821278,0.999433445667125
60,61,0.6375921355419959,0.8948014322311658,0.9810179756162514,0.9994068866108884
61,62,0.6280391732713728,0.8928493850188542,0.979356343845493,0.9993790388151009
62,63,0.6184711430171795,0.8908647903275451,0.9775806496950766,0.9993498529917811
63,64,0.6088950305455174,0.8888481580846157,0.9756860370519865,0.9993192781157315
64,65,0.5993176655659183,0.886799976194715,0.9736676809199871,0.9992872613981325
65,66,0.5897457121984635,0.8847207125989692,0.9715208069522111,0.9992537482588403
66,67,0.580185660285623,0.8826108171480334,0.969240711445745,0.9992186822975733
67,68,0.5706438175483979,0.8804707233091097,0.9668227816755918,0.9991820052641599
68,69,0.56112630258167,0.8783008497244538,0.9642625164394687,0.9991436570279993
69,70,0.5516390386793242,0.8761016016366526,0.9615555466802037,0.9991035755468749
70,71,0.542187748475732,0.8738733721940424,0.9586976560490785,0.9990616968352479
