,Day since infection,"Proba Neut Min
 vs. BA.3 antigen","Proba Neut Max
 vs. BA.3 antigen","Proba Neut Min
 vs. BA.5 antigen","Proba Neut Max
 vs. BA.5 antigen"
0,1,0.7455283240519273,0.9524950116975849,0.0860578888057586,0.2018856508667224
1,2,0.9116980630352216,0.9915225297114333,0.1581416866539994,0.3261931845914545
2,3,0.9626066242508151,0.9972541920498315,0.21898316184578415,0.40710395433253255
3,4,0.9817534071018017,0.9987434733870276,0.2706819570786657,0.46186834865614446
4,5,0.9900871032642928,0.9992809146883873,0.31487124488023066,0.4999458107983572
5,6,0.9941380119137675,0.9995200370022155,0.3528353733213371,0.5268791940757269
6,7,0.9962859104272065,0.9996423625230948,0.3855946367141224,0.5460968649524126
7,8,0.9975077439334117,0.9997110643037541,0.41396718011172917,0.5598163065104318
8,9,0.9982443172699829,0.9997520011824111,0.4386147680645992,0.5695262627866133
9,10,0.9987104738909955,0.99977713331457,0.4600770139056647,0.576257870385187
10,11,0.9990178823985122,0.9997925435985908,0.4787972535811106,0.5807441694705937
11,12,0.999227837294368,0.9998015689145511,0.49514229921708164,0.5835177213808893
12,13,0.9993755963790213,0.9998061556308554,0.5094176610788124,0.5849724703186577
13,14,0.9994822823855726,0.9998074977435454,0.5218793801893329,0.5854041871130966
14,15,0.9995610084747751,0.9998063588476481,0.5327433018552424,0.5850376603915572
15,16,0.9996201748559783,0.9998052562486713,0.5421923997198537,0.5846847163580702
16,17,0.9996653141951062,0.9998072651031497,0.5503826022611525,0.5853291540262444
17,18,0.9997001614149035,0.9998072788477829,0.557447459772697,0.5853335847208874
18,19,0.9997272935661471,0.9998056323705384,0.5635019068381377,0.5848049047552639
19,20,0.9997430705044585,0.999806766156233,0.5672866281216193,0.5851685126436476
20,21,0.999719975431662,0.9998074977435454,0.5618153045413649,0.5854041871130966
21,22,0.9996927867941166,0.9998068328687741,0.5558904478440512,0.5851899691592637
22,23,0.9996611015905539,0.9998061658347903,0.5495757471184881,0.5849757421338404
23,24,0.9996244430516507,0.9998073559524753,0.542926558993043,0.5853584454863954
