,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. BA.4 antigen","Proba Neut Max
 vs. BA.4 antigen"
0,1,0.17994856393095926,0.3882786318967587,0.7455283240519273,0.9524950116975849
1,2,0.3139759329345687,0.5722279902285236,0.9116980630352216,0.9915225297114333
2,3,0.41592707051503774,0.6717232428025228,0.9626066242508151,0.9972541920498315
3,4,0.4949070512384304,0.7306158896109347,0.9817534071018017,0.9987434733870276
4,5,0.5570709832393532,0.7677227289893648,0.9900871032642928,0.9992809146883873
5,6,0.6066817608340467,0.7921256387423398,0.9941380119137675,0.9995200370022155
6,7,0.6467558622146237,0.808623869933836,0.9962859104272065,0.9996423625230948
7,8,0.6794691294279624,0.8199433942882535,0.9975077439334117,0.9997110643037541
8,9,0.7064183351520097,0.8277264628918715,0.9982443172699829,0.9997520011824111
9,10,0.7287936937792852,0.833011978339403,0.9987104738909955,0.99977713331457
10,11,0.7474950110071421,0.8364846614947404,0.9990178823985122,0.9997925435985908
11,12,0.7632113641792411,0.8386116885433224,0.999227837294368,0.9998015689145511
12,13,0.776476705446222,0.8397212705810909,0.9993755963790213,0.9998061556308554
13,14,0.7877092747196415,0.8400497529625945,0.9994822823855726,0.9998074977435454
14,15,0.7972399412717818,0.839770895559848,0.9995610084747751,0.9998063588476481
15,16,0.8053328563832347,0.8395021222200308,0.9996201748559783,0.9998052562486713
16,17,0.8122006892589323,0.83999268850858,0.9996653141951062,0.9998072651031497
17,18,0.8180159961138711,0.8399960584652826,0.9997001614149035,0.9998072788477829
18,19,0.8229197946954238,0.8395936754059814,0.9997272935661471,0.9998056323705384
19,20,0.8259479741091826,0.8398704796675994,0.9997430705044585,0.999806766156233
20,21,0.8215611117240543,0.8400497529625945,0.999719975431662,0.9998074977435454
21,22,0.8167430037496082,0.839886805770571,0.9996927867941166,0.9998068328687741
22,23,0.8115301371981909,0.8397237614012913,0.9996611015905539,0.9998061658347903
23,24,0.8059540305229904,0.8400149666810356,0.9996244430516507,0.9998073559524753
24,25,0.8000423111662127,0.8400162907652867,0.9995822603749386,0.9998073613509928
25,26,0.7938195311367519,0.8397596228212841,0.9995339269061283,0.999806312699576
26,27,0.7873077887520815,0.8399340700824698,0.9994787372092102,0.9998070259029134
27,28,0.7805272056129369,0.8400497529625945,0.9994159033255833,0.9998074977435454
28,29,0.773496294554926,0.839941338141075,0.999344550434003,0.9998070555735543
29,30,0.7662322448875332,0.8396292246837321,0.9992637120675525,0.9998057782648657
30,31,0.7587511444705324,0.8391312658125265,0.999172325008793,0.9998037269642056
31,32,0.7510681532783149,0.8384631568042882,0.9990692239622906,0.9998009486555759
32,33,0.7431976395147663,0.8376387550606345,0.9989531360901835,0.9997974788785784
33,34,0.7351532866888787,0.8366703455410108,0.9988226754884459,0.9997933438209214
34,35,0.7269481780833689,0.8355688619447159,0.9986763376770844,0.9997885619422244
35,36,0.7185948635621526,0.8343440718676877,0.9985124941754402,0.9997831452434152
36,37,0.7101054125377178,0.8330047324862008,0.9983293872331716,0.9997771002657
37,38,0.7014914560630379,0.8315587220148204,0.9981251247877858,0.9997704288814139
38,39,0.6927642203571713,0.8300131511626853,0.9978976757203125,0.9997631289233886
39,40,0.6839345535696039,0.8283744580051551,0.9976448654815625,0.9997551946880544
40,41,0.675012947199217,0.8266484890479331,0.9973643721621317,0.9997466173390759
41,42,0.666009553282235,0.8248405687507251,0.9970537230797055,0.9997373852320794
42,43,0.6569341982292087,0.8229555593689848,0.9967102919571349,0.9997274841763556
43,44,0.6477963940084909,0.8209979126435363,0.9963312967640652,0.9997168976458919
44,45,0.6386053472310315,0.8189717146021391,0.9959137982935068,0.9997056069494175
45,46,0.6293699665795893,0.8168807245213139,0.9954546995425608,0.9996935913670848
46,47,0.620098868937722,0.8147284089209104,0.9949507459634923,0.9996808282598422
47,48,0.6108003845047971,0.812517971319987,0.9943985266474408,0.9996672931563212
48,49,0.6014825611286365,0.8102523783643738,0.9937944764982466,0.9996529598211145
49,50,0.5921531680440308,0.807934382838858,0.9931348794481525,0.9996378003075675
50,51,0.5828196991707679,0.8055665439963453,0.9924158727605118,0.9996217849976192
51,52,0.5734893760970454,0.8031512455694694,0.9916334524571488,0.9996048826307609
52,53,0.5641691508516926,0.8006907117744713,0.9907834798996958,0.9995870603238063
53,54,0.5548657085503496,0.798187021570691,0.9898616895451606,0.9995682835828731
54,55,0.5455854699857188,0.7956421214001183,0.9888636978862188,0.9995485163087295
55,56,0.5363345942195208,0.7930578365987824,0.9877850135763867,0.9995277207964747
56,57,0.5271189812233485,0.7904358816442811,0.9866210487294063,0.9995058577303557
57,58,0.5179442746067391,0.7877778693805525,0.985367131370995,0.9994828861744052
58,59,0.5088158644632295,0.7850853193413754,0.9840185190097044,0.9994587635594699
59,60,0.49973889035862507,0.7823596652774594,0.9825704132821278,0.999433445667125
60,61,0.4907182444800423,0.7796022619778525,0.9810179756162514,0.9994068866108884
61,62,0.4817585749593327,0.776814391464363,0.979356343845493,0.9993790388151009
62,63,0.47286428938013547,0.7739972686274242,0.9775806496950766,0.9993498529917811
63,64,0.46403955847399103,0.7711520463630535,0.9756860370519865,0.9993192781157315
