,Day since infection,"Proba Neut Min
 vs. JN.1 antigen","Proba Neut Max
 vs. JN.1 antigen","Proba Neut Min
 vs. BA.2.87.1 antigen","Proba Neut Max
 vs. BA.2.87.1 antigen"
0,1,0.0860578888057586,0.2018856508667224,0.7455283240519273,0.9524950116975849
1,2,0.1581416866539994,0.3261931845914545,0.9116980630352216,0.9915225297114333
2,3,0.21898316184578415,0.40710395433253255,0.9626066242508151,0.9972541920498315
3,4,0.2706819570786657,0.46186834865614446,0.9817534071018017,0.9987434733870276
4,5,0.31487124488023066,0.4999458107983572,0.9900871032642928,0.9992809146883873
5,6,0.3528353733213371,0.5268791940757269,0.9941380119137675,0.9995200370022155
6,7,0.3855946367141224,0.5460968649524126,0.9962859104272065,0.9996423625230948
7,8,0.41396718011172917,0.5598163065104318,0.9975077439334117,0.9997110643037541
8,9,0.4386147680645992,0.5695262627866133,0.9982443172699829,0.9997520011824111
9,10,0.4600770139056647,0.576257870385187,0.9987104738909955,0.99977713331457
10,11,0.4787972535811106,0.5807441694705937,0.9990178823985122,0.9997925435985908
11,12,0.49514229921708164,0.5835177213808893,0.999227837294368,0.9998015689145511
12,13,0.5094176610788124,0.5849724703186577,0.9993755963790213,0.9998061556308554
13,14,0.5218793801893329,0.5854041871130966,0.9994822823855726,0.9998074977435454
14,15,0.5327433018552424,0.5850376603915572,0.9995610084747751,0.9998063588476481
15,16,0.5421923997198537,0.5846847163580702,0.9996201748559783,0.9998052562486713
16,17,0.5503826022611525,0.5853291540262444,0.9996653141951062,0.9998072651031497
17,18,0.557447459772697,0.5853335847208874,0.9997001614149035,0.9998072788477829
18,19,0.5635019068381377,0.5848049047552639,0.9997272935661471,0.9998056323705384
19,20,0.5672866281216193,0.5851685126436476,0.9997430705044585,0.999806766156233
20,21,0.5618153045413649,0.5854041871130966,0.999719975431662,0.9998074977435454
21,22,0.5558904478440512,0.5851899691592637,0.9996927867941166,0.9998068328687741
22,23,0.5495757471184881,0.5849757421338404,0.9996611015905539,0.9998061658347903
23,24,0.542926558993043,0.5853584454863954,0.9996244430516507,0.9998073559524753
24,25,0.535991288018737,0.5853601864693017,0.9995822603749386,0.9998073613509928
25,26,0.5288124847267826,0.5850228509445086,0.9995339269061283,0.999806312699576
26,27,0.5214277276587505,0.5852520928041873,0.9994787372092102,0.9998070259029134
27,28,0.51387033864299,0.5854041871130966,0.9994159033255833,0.9998074977435454
28,29,0.5061699682442737,0.5852616467385657,0.999344550434003,0.9998070555735543
29,30,0.4983530792783394,0.5848515828880534,0.9992637120675525,0.9998057782648657
30,31,0.49044334961607683,0.5841982479414836,0.999172325008793,0.9998037269642056
31,32,0.482462010545212,0.5833233982680959,0.9990692239622906,0.9998009486555759
32,33,0.47442813324599575,0.5822466029676596,0.9989531360901835,0.9997974788785784
33,34,0.466358873140465,0.5809855076693615,0.9988226754884459,0.9997933438209214
34,35,0.4582696797541248,0.5795560608214319,0.9986763376770844,0.9997885619422244
35,36,0.45017447811151334,0.577972708547775,0.9985124941754402,0.9997831452434152
36,37,0.4420858264466849,0.5762485630599071,0.9983293872331716,0.9997771002657
37,38,0.43401505405298957,0.574395548736059,0.9981251247877858,0.9997704288814139
38,39,0.4259723823546476,0.572424529270156,0.9978976757203125,0.9997631289233886
39,40,0.41796703170399585,0.5703454187171483,0.9976448654815625,0.9997551946880544
40,41,0.4100073159543457,0.568167278791071,0.9973643721621317,0.9997466173390759
41,42,0.4021007265000318,0.5658984043871882,0.9970537230797055,0.9997373852320794
42,43,0.39425400719053505,0.563546398983106,0.9967102919571349,0.9997274841763556
43,44,0.38647322129774,0.5611182413126362,0.9963312967640652,0.9997168976458919
44,45,0.37876381153186534,0.5586203444901015,0.9959137982935068,0.9997056069494175
45,46,0.37113065395251765,0.5560586085832815,0.9954546995425608,0.9996935913670848
46,47,0.3635781064993694,0.5534384674836905,0.9949507459634923,0.9996808282598422
47,48,0.3561100527663188,0.550764930797924,0.9943985266474408,0.9996672931563212
48,49,0.3487299415593189,0.5480426213790974,0.9937944764982466,0.9996529598211145
49,50,0.3414408227078989,0.5452758090293817,0.9931348794481525,0.9996378003075675
50,51,0.3342453795411543,0.5424684408304454,0.9924158727605118,0.9996217849976192
51,52,0.32714595838851945,0.5396241684959184,0.9916334524571488,0.9996048826307609
52,53,0.3201445954224402,0.5367463730868504,0.9907834798996958,0.9995870603238063
53,54,0.3132430411227495,0.5338381873859874,0.9898616895451606,0.9995682835828731
54,55,0.30644278261023983,0.5309025161882359,0.9888636978862188,0.9995485163087295
55,56,0.2997450640687117,0.5279420547318272,0.9877850135763867,0.9995277207964747
56,57,0.2931509054500927,0.5249593054665844,0.9866210487294063,0.9995058577303557
57,58,0.28666111963552676,0.5219565933315362,0.985367131370995,0.9994828861744052
58,59,0.2802763282061851,0.5189360796933684,0.9840185190097044,0.9994587635594699
59,60,0.2739969759606524,0.5158997750792653,0.9825704132821278,0.999433445667125
60,61,0.26782334430074506,0.512849550822211,0.9810179756162514,0.9994068866108884
61,62,0.2617555635943436,0.5097871497233688,0.979356343845493,0.9993790388151009
62,63,0.25579362461200505,0.5067141958244985,0.9775806496950766,0.9993498529917811
63,64,0.2499373891236525,0.5036322033731734,0.9756860370519865,0.9993192781157315
64,65,0.24418659973229428,0.5005425850546934,0.9736676809199871,0.9992872613981325
65,66,0.23854088901344683,0.4974466595567921,0.9715208069522111,0.9992537482588403
66,67,0.23299978802156152,0.4943456585264133,0.969240711445745,0.9992186822975733
67,68,0.22756273421819095,0.4912407329718176,0.9668227816755918,0.9991820052641599
68,69,0.22222907887082055,0.48813295915797494,0.9642625164394687,0.9991436570279993
69,70,0.2169980939660996,0.48502334403851366,0.9615555466802037,0.9991035755468749
70,71,0.21186897867662458,0.4819128302633354,0.9586976560490785,0.9990616968352479
71,72,0.20684086541634517,0.47880230079731456,0.9556848012714184,0.9990179549321511
