,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
224,225,0.05567263094181396,0.8809758612532017,0.027528605709709053,0.6731951898416848
225,226,0.05419925370811496,0.8787839523659147,0.026787781570473346,0.6698352768341715
226,227,0.05276358730685882,0.8765684526732794,0.026066578598969103,0.6664695062150977
227,228,0.051364734625267805,0.8743294470399748,0.025364493987047765,0.6630981974182548
228,229,0.050001816238212315,0.8720670266389523,0.02468103690437584,0.6597216692417789
229,230,0.04867397026375164,0.8697812889220691,0.024015728262683056,0.6563402397514684
230,231,0.04738035220660142,0.8674723375871598,0.02336810048179716,0.6529542261856269
231,232,0.04612013479056187,0.865140282541589,0.022737697257654732,0.6495639448614645
232,233,0.044892507780870505,0.8627852398623244,0.022124073332441596,0.6461697110830913
233,234,0.04369667779740194,0.8604073317525819,0.02152679426701598,0.6427718390511328
234,235,0.04253186811958076,0.858006686495091,0.02094543621575151,0.639370641773997
235,236,0.04139731848384043,0.855583438402033,0.020379585703919734,0.6359664309808203
236,237,0.04029228487438952,0.8531377277617069,0.019828839407728505,0.6325595170361158
237,238,0.039216039308041295,0.8506697007819845,0.019292803937103087,0.6291502088561509
238,239,0.038167869613776495,0.8481795095306099,0.01877109562131185,0.6257388138270726
239,240,0.037147079207707545,0.8456673118724136,0.018263340297503428,0.6223256377248019
240,241,0.03615298686405255,0.8431332714034996,0.017769173102230362,0.6189109846367152
241,242,0.035184926482693446,0.8405775573824792,0.017288238266013556,0.6154951568851323
242,243,0.03424224685386579,0.8380003446588175,0.016820188911002787,0.6120784549526175
243,244,0.03332431142048442,0.835401813598368,0.016364686851769727,0.608661177409118
244,245,0.03243049803858278,0.8327821500061652,0.015921402399278528,0.6052436208409417
245,246,0.03156019873631588,0.8301415450465566,0.015490014168052513,0.6018260797815904
246,247,0.030712819471932384,0.8274801951607444,0.015070208886565184,0.5984088466444546
247,248,0.029887779891121236,0.8247983019818239,0.014661681210869193,0.5949922116573731
248,249,0.029084513084079222,0.8220960722473932,0.014264133541477264,0.5915764627990722
249,250,0.028302465342651684,0.819373717709819,0.013877275843495407,0.5881618857374751
250,251,0.02754109591784737,0.8166314550442424,0.013500825470011746,0.5847487637698978
251,252,0.02679987677802742,0.8138695057544063,0.01313450698873897,0.5813373777651204
252,253,0.02607829236803505,0.8110880960763944,0.012778052011898522,0.5779280061073396
253,254,0.02537583936951593,0.8082874568803635,0.012431199029337425,0.5745209246420011
254,255,0.024692026462657446,0.8054678235703612,0.01209369324486087,0.5711164066235047
255,256,0.024026374089560876,0.8026294359823116,0.011765286415762577,0.5677147226647796
256,257,0.023378414219440424,0.7997725382802658,0.01144573669553306,0.5643161406887269
257,258,0.02274769011582689,0.7968973788509965,0.011134808479717595,0.5609209258815169
258,259,0.022133756105936597,0.7940042101970354,0.010832272254900577,0.5575293406477351
259,260,0.02153617735235891,0.791093288828237,0.010537904450786506,0.5541416445673745
260,261,0.020954529627191576,0.7881648751519641,0.010251487295344197,0.5507580943546492
261,262,0.020388399088745346,0.7852192333619803,0.009972808672986,0.5473789438186326
262,263,0.01983738206093455,0.7822566313261432,0.009701661985741183,0.5440044438256985
263,264,0.019301084815436242,0.7792773404729899,0.009437846017391172,0.5406348422637559
264,265,0.018779123356723937,0.776281635677298,0.00918116480053277,0.5372703840082604
265,266,0.01827112321003388,0.7732697951447209,0.008931427486519095,0.5339113108899898
266,267,0.017776719212344916,0.7702421002955795,0.008688448218250988,0.5305578616645631
267,268,0.017295555306423016,0.7671988356479037,0.00845204600577365,0.5272102719836926
268,269,0.016827284337980863,0.7641402886998091,0.008222044604630274,0.5238687743681435
269,270,0.016371567855997804,0.7610667498112984,0.007998272396943507,0.5205335981823879
270,271,0.015928075916230355,0.7579785120855748,0.007780562275171321,0.5172049696109314
