,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
0,1,0.0,0.0
1,2,0.18353897582523448,0.5997594326212556
2,3,0.3195832449598842,0.787025458658593
3,4,0.42262842234972153,0.8643327638929275
4,5,0.5021687325412536,0.9024332457570088
5,6,0.5645641019576684,0.9234909158679832
6,7,0.6142037122152462,0.9360661766214712
7,8,0.6541849536665194,0.9440216750061322
8,9,0.6867359160949466,0.9492354111143141
9,10,0.7134873031529598,0.9526833447293156
10,11,0.7356514315905607,0.9549551665896646
11,12,0.7541424958115156,0.9564299887017409
12,13,0.7696588836240221,0.9573295932326088
13,14,0.7827404796357227,0.9577925033532789
14,15,0.7938091792366616,0.9579248184163622
15,16,0.8031994870888973,0.9578094369873645
16,17,0.8111762913167928,0.9574972422051732
17,18,0.8179455351249637,0.9570227574340713
18,19,0.8236748556355896,0.9564165034178963
19,20,0.8285019568130783,0.9557050641728541
20,21,0.8325407109207461,0.9549049674984363
21,22,0.8358858840932265,0.9540278098683376
22,23,0.8386168263231781,0.9530846540947212
23,24,0.8408003750097215,0.9520856747121598
24,25,0.8424931561491517,0.9510819512464123
25,26,0.8437434203361749,0.9502511762451137
26,27,0.8445925166006462,0.9493547776668857
27,28,0.8450760820325338,0.9483977900893821
28,29,0.8452250065810492,0.9473848388736072
29,30,0.8450662185550608,0.9463204905422967
30,31,0.8446231558053188,0.9453247778770049
31,32,0.8439133226603599,0.9444063398364175
32,33,0.842949414317504,0.9434309785104736
33,34,0.8417425458482596,0.9424038710656975
34,35,0.8403025880815235,0.9413278590123506
35,36,0.8386383689172181,0.9402048688275986
36,37,0.8367578499588418,0.9391780978888433
37,38,0.8318295342165576,0.9381882323901972
38,39,0.8248778977407845,0.9371466600147427
39,40,0.8177426225369304,0.9360562749974913
40,41,0.8104299788499671,0.934919963070599
41,42,0.8029470874677922,0.9337405661035856
42,43,0.7953018922869572,0.932656730872692
43,44,0.7875019147222119,0.9316051272150083
44,45,0.7795528027921232,0.9305060624439391
45,46,0.7714608964377039,0.9293611408501938
46,47,0.7632330327815517,0.9281719807563626
47,48,0.7548765215264808,0.92694022246642
48,49,0.7463991183810219,0.925667534622458
49,50,0.7378089335782412,0.9243556189870571
50,51,0.729113171356352,0.9230060876101671
51,52,0.7203186472657268,0.9216193630696927
